POA&M ID,System Name,Control ID(s),Weakness / Finding,Severity,Affected Resource,Region,CloudGoat Scenario,Raw Evidence,Remediation Action,Scheduled Completion Date,Status,Scan ID
POAM-0001,CloudGoat Lab System,"AC-6, IA-2",IAM user with AdministratorAccess policy does not have MFA enabled,CRITICAL,arn:aws:iam::123456789012:user/cloudgoat-admin,us-east-1,iam_privesc_by_attachment,User cloudgoat-admin has AdministratorAccess but MFA is not enabled,Enable MFA immediately for admin accounts; consider scoping down AdministratorAccess,2024-01-30,Open,SCAN-2024-001
POAM-0002,CloudGoat Lab System,"AU-9, AC-3",CloudTrail S3 bucket is publicly accessible,CRITICAL,arn:aws:s3:::cloudgoat-trail-logs,us-east-1,cloudtrail_s3,S3 bucket cloudgoat-trail-logs used by CloudTrail has public access enabled,Enable S3 Block Public Access on the CloudTrail log destination bucket,2024-01-30,Open,SCAN-2024-001
POAM-0003,CloudGoat Lab System,"AC-3, SC-28",S3 bucket allows public access,CRITICAL,arn:aws:s3:::cloudgoat-breach-bucket,us-east-1,cloud_breach_s3,Bucket cloudgoat-breach-bucket has S3 Block Public Access disabled,Enable S3 Block Public Access at both the bucket and account level,2024-01-30,Open,SCAN-2024-001
POAM-0004,CloudGoat Lab System,IA-2,IAM console user without MFA enabled,HIGH,arn:aws:iam::123456789012:user/cloudgoat-privesc-user,us-east-1,iam_privesc_by_attachment,User cloudgoat-privesc-user has console access but MFA is not enabled,Enable MFA for the IAM user via IAM console or CLI: aws iam enable-mfa-device,2024-02-14,Open,SCAN-2024-001
POAM-0005,CloudGoat Lab System,"AU-2, AU-12",CloudTrail not enabled in all regions,HIGH,arn:aws:cloudtrail::123456789012:trail/cloudgoat-trail,us-east-1,cloudtrail_s3,Trail cloudgoat-trail is not a multi-region trail,Update CloudTrail trail to enable multi-region logging via console or: aws cloudtrail update-trail --is-multi-region-trail,2024-02-14,Open,SCAN-2024-001
POAM-0006,CloudGoat Lab System,SC-28,S3 bucket does not have server-side encryption enabled,HIGH,arn:aws:s3:::cloudgoat-breach-bucket,us-east-1,cloud_breach_s3,Bucket cloudgoat-breach-bucket does not have server-side encryption configured,Enable default encryption on the S3 bucket using SSE-S3 or SSE-KMS,2024-02-14,Open,SCAN-2024-001
POAM-0007,CloudGoat Lab System,"SC-8, AC-3",S3 bucket does not enforce HTTPS-only access,HIGH,arn:aws:s3:::cloudgoat-breach-bucket,us-east-1,cloud_breach_s3,Bucket cloudgoat-breach-bucket does not have a bucket policy enforcing HTTPS,Add a bucket policy condition requiring aws:SecureTransport = true,2024-02-14,Open,SCAN-2024-001
POAM-0008,CloudGoat Lab System,"SC-8, AC-6",EC2 instance does not enforce IMDSv2,HIGH,arn:aws:ec2:us-east-1:123456789012:instance/i-0abc123def456,us-east-1,ec2_ssrf,"Instance i-0abc123def456 has IMDSv1 enabled, IMDSv2 is not required",Set IMDSv2 as required: aws ec2 modify-instance-metadata-options --http-tokens required,2024-02-14,Open,SCAN-2024-001
POAM-0009,CloudGoat Lab System,"IA-8, AC-3",Cognito identity pool allows unauthenticated guest access,HIGH,arn:aws:cognito-identity:us-east-1:123456789012:identitypool/us-east-1:abc123,us-east-1,vulnerable_cognito,Identity pool us-east-1:abc123 allows unauthenticated guest access,Disable unauthenticated access in the Cognito identity pool settings,2024-02-14,Open,SCAN-2024-001
POAM-0010,CloudGoat Lab System,"AC-6, AC-2",IAM policy attached directly to user instead of group or role,MEDIUM,arn:aws:iam::123456789012:user/cloudgoat-privesc-user,us-east-1,iam_privesc_by_attachment,Policy arn:aws:iam::123456789012:policy/privesc-policy is directly attached to user cloudgoat-privesc-user,Detach policy from user and attach to an IAM group or role instead,2024-04-14,Open,SCAN-2024-001
POAM-0011,CloudGoat Lab System,AU-9,CloudTrail log file validation not enabled,MEDIUM,arn:aws:cloudtrail::123456789012:trail/cloudgoat-trail,us-east-1,cloudtrail_s3,Trail cloudgoat-trail does not have log file validation enabled,Enable log file validation: aws cloudtrail update-trail --enable-log-file-validation,2024-04-14,Open,SCAN-2024-001
POAM-0012,CloudGoat Lab System,"AU-2, AU-12",S3 bucket access logging is not enabled,MEDIUM,arn:aws:s3:::cloudgoat-breach-bucket,us-east-1,cloud_breach_s3,Bucket cloudgoat-breach-bucket does not have access logging enabled,Enable S3 server access logging and direct logs to a dedicated audit bucket,2024-04-14,Open,SCAN-2024-001
POAM-0013,CloudGoat Lab System,"SI-2, AU-2",AWS Security Hub is not enabled in this region,MEDIUM,arn:aws:securityhub:us-east-1:123456789012:hub/default,us-east-1,N/A,AWS Security Hub is not enabled in us-east-1,Enable AWS Security Hub in all active regions: aws securityhub enable-security-hub,2024-04-14,Open,SCAN-2024-001
